vertical,city_slug,state_code,provider_dataset_path,listing_json_path,runtime_ready,notes
trt,houston-tx,TX,data/example_providers/trt/houston-tx__trt.json,data/listings/houston-tx.json,true,Wave 2 grouped TRT provider sets (metro/state verified standard 1)
trt,salt-lake-city-ut,UT,data/example_providers/trt/salt-lake-city-ut__trt.json,data/listings/salt-lake-city-ut.json,true,Wave 3 state-complete grouped TRT provider sets
trt,richmond-va,VA,data/example_providers/trt/richmond-va__trt.json,data/listings/richmond-va.json,true,Wave 3 state-complete grouped TRT provider sets
trt,burlington-vt,VT,data/example_providers/trt/burlington-vt__trt.json,data/listings/burlington-vt.json,true,Wave 3 state-complete grouped TRT provider sets
trt,seattle-wa,WA,data/example_providers/trt/seattle-wa__trt.json,data/listings/seattle-wa.json,true,Wave 2 grouped TRT provider sets (metro/state verified standard 1)
trt,milwaukee-wi,WI,data/example_providers/trt/milwaukee-wi__trt.json,data/listings/milwaukee-wi.json,true,Wave 3 state-complete grouped TRT provider sets
trt,charleston-wv,WV,data/example_providers/trt/charleston-wv__trt.json,data/listings/charleston-wv.json,true,Wave 3 state-complete grouped TRT provider sets
trt,cheyenne-wy,WY,data/example_providers/trt/cheyenne-wy__trt.json,data/listings/cheyenne-wy.json,true,Wave 3 state-complete grouped TRT provider sets
neuro,anchorage-ak,AK,data/example_providers/neuro/anchorage-ak__adhd_eval.json,data/listings/anchorage-ak.json,true,Wave 3 state-complete grouped Neuro provider sets
neuro,birmingham-al,AL,data/example_providers/neuro/birmingham-al__adhd_eval.json,data/listings/birmingham-al.json,true,Wave 3 state-complete grouped Neuro provider sets
neuro,little-rock-ar,AR,data/example_providers/neuro/little-rock-ar__adhd_eval.json,data/listings/little-rock-ar.json,true,Wave 3 state-complete grouped Neuro provider sets
neuro,phoenix-az,AZ,data/example_providers/neuro/phoenix-az__adhd_eval.json,data/listings/phoenix-az.json,true,Wave 2 grouped Neuro provider sets (metro/state verified standard 1)
